"slug","title_en","title_ar","template_code","category_code","specialty","public_path","source_file","patient_copy","mapping_status"
"central-vascular-access-device-insertion","Central Vascular Access Device Insertion","","imc-approved-central-vascular-access-device-insertion","","","/approved-consent-forms-patient-copy/central-vascular-access-device-insertion-patient-copy.pdf","Central Vascular Access Device Insertion - Patient  Copy.pdf","True","NEEDS_REVIEW"
"cerebral-angiogram-aneurysm-coiling-flow-diverter","Cerebral Angiogram - Aneurysm Coiling - Flow Diverter","","imc-approved-cerebral-angiogram-aneurysm-coiling-flow-diverter","","","/approved-consent-forms/cerebral-angiogram-aneurysm-coiling-flow-diverter.pdf","Cerebral Angiogram - Aneurysm Coiling - Flow Diverter.pdf","False","NEEDS_REVIEW"
"cerebral-angiogram-cerebral-thrombectomy","Cerebral Angiogram - Cerebral Thrombectomy","","imc-approved-cerebral-angiogram-cerebral-thrombectomy","","","/approved-consent-forms/cerebral-angiogram-cerebral-thrombectomy.pdf","Cerebral Angiogram - Cerebral Thrombectomy.pdf","False","NEEDS_REVIEW"
"cerebral-vasospasm-treatment","Cerebral Vasospasm Treatment","","imc-approved-cerebral-vasospasm-treatment","","","/approved-consent-forms/cerebral-vasospasm-treatment.pdf","Cerebral Vasospasm Treatment.pdf","False","NEEDS_REVIEW"
"cerebral-vasospasm-treatment","Cerebral Vasospasm Treatment","","imc-approved-cerebral-vasospasm-treatment","","","/approved-consent-forms-patient-copy/cerebral-vasospasm-treatment-patient-copy.pdf","Cerebral Vasospasm Treatment - Patient Copy.pdf","True","NEEDS_REVIEW"
"chalazion-curettage","Chalazion Curettage","","imc-approved-chalazion-curettage","","","/approved-consent-forms/chalazion-curettage.pdf","Chalazion Curettage.pdf","False","NEEDS_REVIEW"
"chemabrasion-and-dermabrasion","Chemabrasion and Dermabrasion","","imc-approved-chemabrasion-and-dermabrasion","","","/approved-consent-forms/chemabrasion-and-dermabrasion.pdf","Chemabrasion and Dermabrasion.pdf","False","NEEDS_REVIEW"
"chemabrasion-and-dermabrasion","Chemabrasion and Dermabrasion","","imc-approved-chemabrasion-and-dermabrasion","","","/approved-consent-forms-patient-copy/chemabrasion-and-dermabrasion-patient-copy.pdf","Chemabrasion and Dermabrasion - Patient Copy.pdf","True","NEEDS_REVIEW"
"cholangiogram-percutaneous-or-biliary-drainstent","Cholangiogram (Percutaneous) &or Biliary DrainStent","","imc-approved-cholangiogram-percutaneous-or-biliary-drainstent","","","/approved-consent-forms/cholangiogram-percutaneous-or-biliary-drainstent.pdf","Cholangiogram (Percutaneous) &or Biliary DrainStent.pdf","False","NEEDS_REVIEW"
"cholangiogram-percutaneous-or-biliary-drainstent","Cholangiogram (Percutaneous) &or Biliary DrainStent","","imc-approved-cholangiogram-percutaneous-or-biliary-drainstent","","","/approved-consent-forms-patient-copy/cholangiogram-percutaneous-or-biliary-drainstent-patient-copy.pdf","Cholangiogram (Percutaneous) &or Biliary DrainStent - Patient Copy.pdf","True","NEEDS_REVIEW"
"cholecystectomy-laparoscopic","Cholecystectomy Laparoscopic","","imc-approved-cholecystectomy-laparoscopic","","","/approved-consent-forms/cholecystectomy-laparoscopic.pdf","Cholecystectomy Laparoscopic.pdf","False","NEEDS_REVIEW"
"cholecystectomy-laparoscopic","Cholecystectomy Laparoscopic","","imc-approved-cholecystectomy-laparoscopic","","","/approved-consent-forms-patient-copy/cholecystectomy-laparoscopic-patient-copy.pdf","Cholecystectomy Laparoscopic - Patient Copy.pdf","True","NEEDS_REVIEW"
"cholecystectomy-open","Cholecystectomy Open","","imc-approved-cholecystectomy-open","","","/approved-consent-forms/cholecystectomy-open.pdf","Cholecystectomy Open.pdf","False","NEEDS_REVIEW"
"cholecystectomy-open","Cholecystectomy Open","","imc-approved-cholecystectomy-open","","","/approved-consent-forms-patient-copy/cholecystectomy-open-patient-copy.pdf","Cholecystectomy Open - Patient Copy.pdf","True","NEEDS_REVIEW"
"cholecystectomy-open-and-exploration-of-the-common-bile-duct","Cholecystectomy Open and Exploration of the Common Bile Duct","","imc-approved-cholecystectomy-open-and-exploration-of-the-common-bile-duct","","","/approved-consent-forms/cholecystectomy-open-and-exploration-of-the-common-bile-duct.pdf","Cholecystectomy Open and Exploration of the Common Bile Duct.pdf","False","NEEDS_REVIEW"
"cholecystectomy-open-and-exploration-of-the-common-bile-duct","Cholecystectomy Open and Exploration of the Common Bile Duct","","imc-approved-cholecystectomy-open-and-exploration-of-the-common-bile-duct","","","/approved-consent-forms-patient-copy/cholecystectomy-open-and-exploration-of-the-common-bile-duct-patient-copy.pdf","Cholecystectomy Open and Exploration of the Common Bile Duct - Patient Copy.pdf","True","NEEDS_REVIEW"
"cholecystoduodenostomy-enterostomy","Cholecystoduodenostomy - Enterostomy","","imc-approved-cholecystoduodenostomy-enterostomy","","","/approved-consent-forms/cholecystoduodenostomy-enterostomy.pdf","Cholecystoduodenostomy - Enterostomy.pdf","False","NEEDS_REVIEW"
"cholecystoduodenostomy-enterostomy","Cholecystoduodenostomy - Enterostomy","","imc-approved-cholecystoduodenostomy-enterostomy","","","/approved-consent-forms-patient-copy/cholecystoduodenostomy-enterostomy-patient-copy.pdf","Cholecystoduodenostomy - Enterostomy - Patient Copy.pdf","True","NEEDS_REVIEW"
"circumcision-adult","Circumcision - (Adult)","","imc-approved-circumcision-adult","","","/approved-consent-forms/circumcision-adult.pdf","Circumcision - (Adult).pdf","False","NEEDS_REVIEW"
"circumcision-adult","Circumcision - (Adult)","","imc-approved-circumcision-adult","","","/approved-consent-forms-patient-copy/circumcision-adult-patient-copy.pdf","Circumcision - (Adult) Patient Copy.pdf","True","NEEDS_REVIEW"
"circumcision-child-young-person","Circumcision (Child-Young Person)","","imc-approved-circumcision-child-young-person","","","/approved-consent-forms/circumcision-child-young-person.pdf","Circumcision (Child-Young Person).pdf","False","NEEDS_REVIEW"
"circumcision-child-young-person","Circumcision (Child-Young Person)","","imc-approved-circumcision-child-young-person","","","/approved-consent-forms-patient-copy/circumcision-child-young-person-patient-copy.pdf","Circumcision (Child-Young Person) - Patient Copy.pdf","True","NEEDS_REVIEW"
"coiling-embolisation-of-intracranial-aneurysm","Coiling embolisation of Intracranial Aneurysm","","imc-approved-coiling-embolisation-of-intracranial-aneurysm","","","/approved-consent-forms/coiling-embolisation-of-intracranial-aneurysm.pdf","Coiling embolisation of Intracranial Aneurysm.pdf","False","NEEDS_REVIEW"
"coiling-embolisation-of-intracranial-aneurysm","Coiling embolisation of Intracranial Aneurysm","","imc-approved-coiling-embolisation-of-intracranial-aneurysm","","","/approved-consent-forms-patient-copy/coiling-embolisation-of-intracranial-aneurysm-patient-copy.pdf","Coiling embolisation of Intracranial Aneurysm - Patient Copy.pdf","True","NEEDS_REVIEW"
"colonoscopy","Colonoscopy","","imc-approved-colonoscopy","","","/approved-consent-forms/colonoscopy.pdf","Colonoscopy.pdf","False","NEEDS_REVIEW"
"colonoscopy","Colonoscopy","","imc-approved-colonoscopy","","","/approved-consent-forms-patient-copy/colonoscopy-patient-copy.pdf","Colonoscopy - Patient copy.pdf","True","NEEDS_REVIEW"
"colposuspension","Colposuspension","","imc-approved-colposuspension","","","/approved-consent-forms/colposuspension.pdf","Colposuspension.pdf","False","NEEDS_REVIEW"
"colposuspension-cystoscopy","Colposuspension & Cystoscopy","","imc-approved-colposuspension-cystoscopy","","","/approved-consent-forms/colposuspension-cystoscopy.pdf","Colposuspension & Cystoscopy.pdf","False","NEEDS_REVIEW"
"cone-biopsy","Cone Biopsy","","imc-approved-cone-biopsy","","","/approved-consent-forms/cone-biopsy.pdf","Cone Biopsy.pdf","False","NEEDS_REVIEW"
"consent-for-anesthesia-patient-education","Consent for Anesthesia - Patient Education","","imc-approved-consent-for-anesthesia-patient-education","","","/approved-consent-forms/consent-for-anesthesia-patient-education.pdf","Consent for Anesthesia - Patient Education.pdf","False","NEEDS_REVIEW"
"consent-form-bariatric","Consent Form Bariatric","","imc-approved-consent-form-bariatric","","","/approved-consent-forms/consent-form-bariatric.pdf","Consent Form Bariatric.pdf","False","NEEDS_REVIEW"
"consent-form-botulinium","Consent Form - Botulinium","","imc-approved-consent-form-botulinium","","","/approved-consent-forms/consent-form-botulinium.pdf","Consent Form - Botulinium.pdf","False","NEEDS_REVIEW"
